address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
"11, ICKLINGHAM ROAD, COBHAM, KT11 2NG",11,,ICKLINGHAM ROAD,,COBHAM,KT11 2NG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4333132,2025-09-18,elmbridge-prime,A
"18, INCE ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BJ",18,,INCE ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BJ,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:ince-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3250000,2025-09-18,elmbridge-prime,A
"MILHANGER, PORTSMOUTH ROAD, THURSLEY, GODALMING, GU8 6NT",MILHANGER,,PORTSMOUTH ROAD,THURSLEY,GODALMING,GU8 6NT,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,8000000,2025-09-17,waverley-south-surrey,A
"COSFORD MILL, PORTSMOUTH ROAD, THURSLEY, GODALMING, GU8 6NH",COSFORD MILL,,PORTSMOUTH ROAD,THURSLEY,GODALMING,GU8 6NH,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,8000000,2025-09-17,waverley-south-surrey,A
"ORNSAY, WOODLANDS ROAD WEST, VIRGINIA WATER, GU25 4PN",ORNSAY,,WOODLANDS ROAD WEST,,VIRGINIA WATER,GU25 4PN,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-west:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,5050000,2025-09-05,runnymede-wentworth,A
"44, WAYNEFLETE TOWER AVENUE, ESHER, KT10 8QG",44,,WAYNEFLETE TOWER AVENUE,,ESHER,KT10 8QG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3175000,2025-09-05,elmbridge-prime,A
"CONSTANTIA, SOUTH ROAD, ST GEORGES HILL, WEYBRIDGE, KT13 0NA",CONSTANTIA,,SOUTH ROAD,ST GEORGES HILL,WEYBRIDGE,KT13 0NA,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:south-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,19000000,2025-08-29,elmbridge-prime,A
"HIGHBURY HOUSE, 38, CRANLEY ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BL","HIGHBURY HOUSE, 38",,CRANLEY ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BL,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:cranley-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,5400000,2025-08-29,elmbridge-prime,A
"SHERBOURNE HOUSE, SHERBOURNE DRIVE, ASCOT, SL5 0LG",SHERBOURNE HOUSE,,SHERBOURNE DRIVE,,ASCOT,SL5 0LG,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,18300000,2025-08-19,runnymede-wentworth,A
"CADAGON HOUSE, 19B, EATON PARK, COBHAM, KT11 2JF","CADAGON HOUSE, 19B",,EATON PARK,,COBHAM,KT11 2JF,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4350000,2025-08-15,elmbridge-prime,B
"QUEENWOOD, MOLES HILL, OXSHOTT, LEATHERHEAD, KT22 0QB",QUEENWOOD,,MOLES HILL,OXSHOTT,LEATHERHEAD,KT22 0QB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3240000,2025-08-15,elmbridge-prime,A
"PARK HOUSE, PICKHURST ROAD, CHIDDINGFOLD, GODALMING, GU8 4TS",PARK HOUSE,,PICKHURST ROAD,CHIDDINGFOLD,GODALMING,GU8 4TS,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3025000,2025-08-15,waverley-south-surrey,A
"17, NUNS WALK, VIRGINIA WATER, GU25 4RT",17,,NUNS WALK,,VIRGINIA WATER,GU25 4RT,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4100000,2025-08-12,runnymede-wentworth,A
"12, FAIRMILE AVENUE, COBHAM, KT11 2JB",12,,FAIRMILE AVENUE,,COBHAM,KT11 2JB,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:fairmile-avenue:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,6425000,2025-08-08,elmbridge-prime,A
"HATTON COURT, HATTON HILL, WINDLESHAM, GU20 6AD",HATTON COURT,,HATTON HILL,,WINDLESHAM,GU20 6AD,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3700000,2025-08-07,surrey-heath,A
"ASHLEY HOUSE, 68, ASHLEY PARK AVENUE, WALTON-ON-THAMES, KT12 1EU","ASHLEY HOUSE, 68",,ASHLEY PARK AVENUE,,WALTON-ON-THAMES,KT12 1EU,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3100000,2025-08-04,elmbridge-prime,A
"2, OXSHOTT RISE, COBHAM, KT11 2RN",2,,OXSHOTT RISE,,COBHAM,KT11 2RN,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:oxshott-rise:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,6175000,2025-07-31,elmbridge-prime,A
"6, CLARE HILL, ESHER, KT10 9NA",6,,CLARE HILL,,ESHER,KT10 9NA,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4350000,2025-07-31,elmbridge-prime,A
"12, TUDOR CLOSE, COBHAM, KT11 2PH",12,,TUDOR CLOSE,,COBHAM,KT11 2PH,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2025-07-28,elmbridge-prime,A
"6, GOLDRINGS ROAD, OXSHOTT, LEATHERHEAD, KT22 0QR",6,,GOLDRINGS ROAD,OXSHOTT,LEATHERHEAD,KT22 0QR,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3265000,2025-07-24,elmbridge-prime,A
"44, CHANTRY VIEW ROAD, GUILDFORD, GU1 3XT",44,,CHANTRY VIEW ROAD,,GUILDFORD,GU1 3XT,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3052800,2025-07-15,guildford-district,A
"MEADOWBANK, STOKESHEATH ROAD, OXSHOTT, LEATHERHEAD, KT22 0PP",MEADOWBANK,,STOKESHEATH ROAD,OXSHOTT,LEATHERHEAD,KT22 0PP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4100000,2025-07-11,elmbridge-prime,A
"ASHBY HOUSE, STAR HILL, CHURT, FARNHAM, GU10 2HS",ASHBY HOUSE,,STAR HILL,CHURT,FARNHAM,GU10 2HS,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2025-07-11,waverley-south-surrey,A
"HIGH BARN HOUSE, BEECH AVENUE, EFFINGHAM, LEATHERHEAD, KT24 5PJ",HIGH BARN HOUSE,,BEECH AVENUE,EFFINGHAM,LEATHERHEAD,KT24 5PJ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2025-07-10,guildford-district,A
"2, QUEENSMEAD, OXSHOTT, LEATHERHEAD, KT22 0PQ",2,,QUEENSMEAD,OXSHOTT,LEATHERHEAD,KT22 0PQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3400000,2025-07-10,elmbridge-prime,A
"HIGH TREES, BEECHWOOD ROAD, VIRGINIA WATER, GU25 4JP",HIGH TREES,,BEECHWOOD ROAD,,VIRGINIA WATER,GU25 4JP,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:beechwood-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4750000,2025-07-09,runnymede-wentworth,A
"19, ICKLINGHAM ROAD, COBHAM, KT11 2NQ",19,,ICKLINGHAM ROAD,,COBHAM,KT11 2NQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5800000,2025-07-04,elmbridge-prime,A
"HUNTERS HILL, SHOPHOUSE LANE, ALBURY, GUILDFORD, GU5 9EQ",HUNTERS HILL,,SHOPHOUSE LANE,ALBURY,GUILDFORD,GU5 9EQ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5200000,2025-07-04,guildford-district,B
"GREENWOOD, THE CHASE, OXSHOTT, LEATHERHEAD, KT22 0HR",GREENWOOD,,THE CHASE,OXSHOTT,LEATHERHEAD,KT22 0HR,Elmbridge,Detached,knott-park,Knott Park,A,traditional_private_estate,pe:knott-park:the-chase:segment,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4200000,2025-07-04,elmbridge-prime,A
"PINE GROVE, VIRGINIA AVENUE, VIRGINIA WATER, GU25 4RY",PINE GROVE,,VIRGINIA AVENUE,,VIRGINIA WATER,GU25 4RY,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:virginia-avenue:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,7689851,2025-06-30,runnymede-wentworth,A
"THE ORCHARD, 10, BROOK FARM ROAD, COBHAM, KT11 3AX","THE ORCHARD, 10",,BROOK FARM ROAD,,COBHAM,KT11 3AX,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2025-06-30,elmbridge-prime,A
"7, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UL",7,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3950000,2025-06-26,elmbridge-prime,B
"BEAUMONT HOUSE, KINGSWOOD WARREN PARK, WOODLAND WAY, KINGSWOOD, TADWORTH, KT20 6AD",KINGSWOOD WARREN PARK,BEAUMONT HOUSE,WOODLAND WAY,KINGSWOOD,TADWORTH,KT20 6AD,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2025-06-25,reigate-banstead,A
"ST. GEORGES HILL HOUSE, HILL HOUSE DRIVE, WEYBRIDGE, KT13 0NQ",ST. GEORGES HILL HOUSE,,HILL HOUSE DRIVE,,WEYBRIDGE,KT13 0NQ,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:hill-house-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,7000000,2025-06-20,elmbridge-prime,A
"9, THE MOUNT, ESHER, KT10 8LQ",9,,THE MOUNT,,ESHER,KT10 8LQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4150000,2025-06-20,elmbridge-prime,A
"DOWNDERRY, 1, HAREBELL HILL, COBHAM, KT11 2RS","DOWNDERRY, 1",,HAREBELL HILL,,COBHAM,KT11 2RS,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:harebell-hill:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4300000,2025-06-18,elmbridge-prime,A
"HYDON RIDGE, FEATHERCOMBE LANE, HAMBLEDON, GODALMING, GU8 4DP",HYDON RIDGE,,FEATHERCOMBE LANE,HAMBLEDON,GODALMING,GU8 4DP,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5000000,2025-06-11,waverley-south-surrey,A
"CHASE GROVE, THE CHASE, KINGSWOOD, TADWORTH, KT20 6HZ",CHASE GROVE,,THE CHASE,KINGSWOOD,TADWORTH,KT20 6HZ,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5300000,2025-06-09,reigate-banstead,A
"DUNELM, 6, GREENACRES, RUNFOLD, FARNHAM, GU10 1QH","DUNELM, 6",,GREENACRES,RUNFOLD,FARNHAM,GU10 1QH,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2025-06-06,waverley-south-surrey,A
"FLAT 21, KINGSBRIDGE HOUSE, 14, THAMES STREET, STAINES-UPON-THAMES, TW18 4RB","KINGSBRIDGE HOUSE, 14",FLAT 21,THAMES STREET,,STAINES-UPON-THAMES,TW18 4RB,Spelthorne,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3550000,2025-06-03,spelthorne,B
"REDWOOD, HIGH STREET GREEN, CHIDDINGFOLD, GODALMING, GU8 4XY",REDWOOD,,HIGH STREET GREEN,CHIDDINGFOLD,GODALMING,GU8 4XY,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3900000,2025-05-14,waverley-south-surrey,A
"KESTREL GRANGE, 3, THE MOUNT, ESHER, KT10 8LQ","KESTREL GRANGE, 3",,THE MOUNT,,ESHER,KT10 8LQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3775000,2025-05-09,elmbridge-prime,A
"8, HOLTWOOD ROAD, OXSHOTT, LEATHERHEAD, KT22 0QJ",8,,HOLTWOOD ROAD,OXSHOTT,LEATHERHEAD,KT22 0QJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2025-05-08,elmbridge-prime,B
"FAIRFIELD HOUSE, 18, NUNS WALK, VIRGINIA WATER, GU25 4RT","FAIRFIELD HOUSE, 18",,NUNS WALK,,VIRGINIA WATER,GU25 4RT,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6400000,2025-04-25,runnymede-wentworth,A
"RIDINGS, WOODLAND DRIVE, EAST HORSLEY, LEATHERHEAD, KT24 5AN",RIDINGS,,WOODLAND DRIVE,EAST HORSLEY,LEATHERHEAD,KT24 5AN,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2025-04-24,guildford-district,A
"MANOR HOUSE, THE GREEN, CHIDDINGFOLD, GODALMING, GU8 4TU",MANOR HOUSE,,THE GREEN,CHIDDINGFOLD,GODALMING,GU8 4TU,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6500000,2025-04-16,waverley-south-surrey,A
"THE COACH HOUSE, THE GREEN, CHIDDINGFOLD, GODALMING, GU8 4TU",THE COACH HOUSE,,THE GREEN,CHIDDINGFOLD,GODALMING,GU8 4TU,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3550000,2025-04-16,waverley-south-surrey,A
"OTTERS LEAP, 4, ADELAIDE ROAD, WALTON-ON-THAMES, KT12 1NA","OTTERS LEAP, 4",,ADELAIDE ROAD,,WALTON-ON-THAMES,KT12 1NA,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3075000,2025-04-11,elmbridge-prime,A
"16, ST MARYS ROAD, LONG DITTON, SURBITON, KT6 5EY",16,,ST MARYS ROAD,LONG DITTON,SURBITON,KT6 5EY,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3300000,2025-04-10,elmbridge-prime,A
"4, MONTROSE GARDENS, OXSHOTT, LEATHERHEAD, KT22 0UU",4,,MONTROSE GARDENS,OXSHOTT,LEATHERHEAD,KT22 0UU,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4900000,2025-04-04,elmbridge-prime,A
"4, HOLTWOOD ROAD, OXSHOTT, LEATHERHEAD, KT22 0QJ",4,,HOLTWOOD ROAD,OXSHOTT,LEATHERHEAD,KT22 0QJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3820000,2025-03-31,elmbridge-prime,A
"CHIPPINGS, 15, BROCK WAY, VIRGINIA WATER, GU25 4SD","CHIPPINGS, 15",,BROCK WAY,,VIRGINIA WATER,GU25 4SD,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3650000,2025-03-31,runnymede-wentworth,A
"3, PARKLANDS CLOSE, FARNHAM, GU9 8AZ",3,,PARKLANDS CLOSE,,FARNHAM,GU9 8AZ,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3100000,2025-03-31,waverley-south-surrey,A
"LITTLETON FARMHOUSE, LITTLETON LANE, GUILDFORD, GU3 1HW",LITTLETON FARMHOUSE,,LITTLETON LANE,,GUILDFORD,GU3 1HW,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3050000,2025-03-31,guildford-district,A
"25, SANDOWN ROAD, ESHER, KT10 9TT",25,,SANDOWN ROAD,,ESHER,KT10 9TT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5400000,2025-03-21,elmbridge-prime,A
"18, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UP",18,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,7650000,2025-03-13,elmbridge-prime,A
"CLIVEDEN HOUSE, WARREN DRIVE, KINGSWOOD, TADWORTH, KT20 6PX",CLIVEDEN HOUSE,,WARREN DRIVE,KINGSWOOD,TADWORTH,KT20 6PX,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3700000,2025-03-06,reigate-banstead,A
"HIGHVIEW, 24, INCE ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5BJ","HIGHVIEW, 24",,INCE ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5BJ,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:ince-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4300000,2025-02-28,elmbridge-prime,B
"DEVONSHIRE HOUSE, 10, FAIRMEADS, COBHAM, KT11 2JD","DEVONSHIRE HOUSE, 10",,FAIRMEADS,,COBHAM,KT11 2JD,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:fairmeads:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3940000,2025-02-28,elmbridge-prime,A
"KINGSWOOD HOUSE, EYHURST CLOSE, KINGSWOOD, TADWORTH, KT20 6NR",KINGSWOOD HOUSE,,EYHURST CLOSE,KINGSWOOD,TADWORTH,KT20 6NR,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2025-02-27,reigate-banstead,A
"CARRON, CHRISTCHURCH ROAD, VIRGINIA WATER, GU25 4RW",CARRON,,CHRISTCHURCH ROAD,,VIRGINIA WATER,GU25 4RW,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3175000,2025-02-25,runnymede-wentworth,A
"CHERRY GARTH, STOKESHEATH ROAD, OXSHOTT, LEATHERHEAD, KT22 0PS",CHERRY GARTH,,STOKESHEATH ROAD,OXSHOTT,LEATHERHEAD,KT22 0PS,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2025-02-25,elmbridge-prime,A
"ROUNDHILL LODGE, HOCKERING ROAD, WOKING, GU22 7HJ",ROUNDHILL LODGE,,HOCKERING ROAD,,WOKING,GU22 7HJ,Woking,Detached,hockering-estate,Hockering Estate,A,traditional_private_estate,pe:hockering-estate:hockering-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3200000,2025-02-20,woking-district,A
"2, PELHAMS CLOSE, ESHER, KT10 8QB",2,,PELHAMS CLOSE,,ESHER,KT10 8QB,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3750000,2025-02-17,elmbridge-prime,A
"REGENCY HOUSE, 1, THE BARTON, COBHAM, KT11 2NJ","REGENCY HOUSE, 1",,THE BARTON,,COBHAM,KT11 2NJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4100000,2025-02-07,elmbridge-prime,A
"CLEREVIEW, STOKESHEATH ROAD, OXSHOTT, LEATHERHEAD, KT22 0PP",CLEREVIEW,,STOKESHEATH ROAD,OXSHOTT,LEATHERHEAD,KT22 0PP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5350000,2025-02-04,elmbridge-prime,A
"23, ICKLINGHAM ROAD, COBHAM, KT11 2NQ",23,,ICKLINGHAM ROAD,,COBHAM,KT11 2NQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6000000,2025-02-03,elmbridge-prime,B
"WOODSIDE HOUSE, COCKCROW HILL, LONG DITTON, SURBITON, KT6 5HE",WOODSIDE HOUSE,,COCKCROW HILL,LONG DITTON,SURBITON,KT6 5HE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2025-01-31,elmbridge-prime,A
